fips,area_name,state_abbreviation,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,gop_pct_2016,gop_pct_2008,pct_change
1001,Autauga County,AL,23641,6093,17403,145,23909,6354,17366,189,24661,5908,18110,643,55395,54571,1.5,54571,6,25.2,13.8,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,85,1.6,3.5,85.6,20.9,5922,26.2,22751,76.8,8.3,136200,20071,2.71,24571,53682,12.1,817,10120,2.1,2947,4067,15.2,0,1.3,0,0.7,31.7,0,0,598175,12003,88157,131,594.44,91.8,0.7343578930294797,0.7361363732498625,4.062517956674139
1003,Baldwin County,AL,81413,19386,61271,756,84988,18329,65772,887,94090,18409,72780,2901,200111,182265,9.8,182265,5.6,22.2,18.7,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83,82.1,3.6,5.5,89.1,27.7,19346,25.9,107374,72.6,24.4,168600,73283,2.52,26766,50221,13.9,4871,54988,3.7,16508,19035,2.7,0.4,1,0,1.3,27.3,1410273,0,2966489,17166,436955,1384,1589.78,114.6,0.773514719948985,0.7525947944431479,18.783763933998145
1005,Barbour County,AL,11630,5697,5866,67,11459,5873,5539,47,10390,4848,5431,111,26887,27457,-2.1,27457,5.7,21.2,16.5,46.6,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6,84.8,2.9,5,73.7,13.4,2120,24.6,11799,67.7,10.6,89200,9200,2.66,16829,32911,26.7,464,6611,-5.6,1546,1667,0,0,0,0,0,27,0,0,188337,6334,0,8,884.88,31,0.5227141482194417,0.5043852106620809,-7.415615410842136
1007,Bibb County,AL,8644,2299,6262,83,8391,2200,6131,60,8748,1874,6733,141,22506,22919,-1.8,22915,5.3,21,14.8,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,86.6,1.2,2.1,77.5,12.1,1327,27.6,8978,79,7.3,90500,7091,3.03,17427,36447,18.1,275,3145,7.5,1126,1385,14.9,0,0,0,0,0,0,0,124707,5804,10757,19,622.58,36.8,0.7696616369455875,0.7244331328088848,7.521558607473655
1009,Blount County,AL,24267,3522,20389,356,23980,2961,20741,278,25384,2150,22808,426,57719,57322,0.7,57322,6.1,23.6,17,50.5,96,1.8,0.6,0.3,0.1,1.2,8.7,87.8,88.7,4.3,7.3,77,12.1,4540,33.9,23826,81,4.5,117100,21108,2.7,20730,44145,15.8,660,6798,3.4,3563,4458,0,0,0,0,0,23.2,341544,0,319700,5622,20941,3,644.78,88.9,0.8985187519697447,0.8401945028227634,11.864240521850022
1011,Bullock County,AL,5415,4011,1391,13,5318,4058,1250,10,4701,3530,1139,32,10764,10915,-1.4,10914,6.3,21.4,14.9,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1,84.7,5.4,5.2,67.8,12.5,636,26.9,4461,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0,0,470,417,0,0,0,0,0,38.8,0,0,43810,3995,3670,1,622.81,17.5,0.24228887470750904,0.25687903970452447,-18.11646297627606
1013,Butler County,AL,9709,4188,5485,36,9483,4367,5081,35,8685,3716,4891,78,20296,20946,-3.1,20947,6.1,23.6,18,53.6,53.9,44,0.4,0.9,0,0.8,1.2,53.1,94.6,0.8,1.7,76.3,14,1497,24,9916,70.3,13.3,74700,8235,2.47,17403,29918,28.4,393,5711,2.7,1095,1769,0,0,3.3,0,0,0,399132,56712,229277,11326,28427,2,776.83,27,0.5631548647092689,0.5649397466268411,-10.829535095715592
1015,Calhoun County,AL,49242,16334,32348,560,46240,15500,30272,468,47376,13197,32803,1376,115916,118586,-2.3,118572,5.7,22.2,16,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9,83.6,2.4,4.5,78.6,16.1,11385,22.5,53289,68.7,13.8,100600,45196,2.54,20828,39962,21.9,2311,34871,0.6,6352,8713,7.2,0,1.6,0,0.5,24.7,2679991,0,1542981,13678,186533,114,605.87,195.7,0.6923969942586964,0.6569188903781324,1.406578459255603
1017,Chambers County,AL,14956,6799,8067,90,14562,6853,7596,113,13778,5763,7803,212,34076,34170,-0.3,34215,5.9,21.4,18.3,52.3,58.3,39.5,0.3,0.8,0.1,1.1,2,56.8,85.8,1.1,1.3,75.1,11.8,2691,24.6,16894,67.9,11.1,81200,13722,2.46,19291,32402,24.1,515,6431,-0.2,2354,1981,0,0,0,0,0,29.3,667283,0,264650,7620,23237,8,596.53,57.4,0.56633763971548845,0.5393821877507355,-3.272592041651168
1019,Cherokee County,AL,9745,2306,7298,141,9761,2126,7494,141,10503,1524,8809,170,26037,25986,0.2,25989,4.8,20.4,20.9,50.2,93,4.6,0.5,0.3,0,1.6,1.5,91.6,90.6,0.7,1.1,78.3,12.8,2174,26.9,16241,76.1,4.6,99400,11656,2.2,22030,34907,21.2,379,3864,5.5,1560,2180,0,0,0,0,0,14.5,307439,62293,186321,7613,13948,2,553.7,46.9,0.8387127487384557,0.748896870189841,20.70430254864346
